Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,25,PHO,NBA,PF,1,0,15:00,7,8,0.875,0,0,NA,2,2,1,1,5,0,0,2,2,5,16
1988-89,29,CLE,NBA,PF,1,0,17:00,5,9,0.556,0,0,NA,0,0,NA,3,6,1,1,1,0,1,10
1992-93,33,CLE,NBA,PF,1,0,12:00,3,4,0.75,0,0,NA,1,2,0.5,1,3,1,1,1,0,3,7
Career,NA,,NBA,,3,0,44,15,21,0.714,0,0,NA,3,4,0.75,5,14,2,2,4,2,9,33
