,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1998-99,19,MERIDIANCC,34,,255,506,48,145,123,177,,169,56,,,,,681,.504,.331,.695,,20.0,5.0,1.6
2000-01,21,SHAW,23,876,173,382,25,71,139,192,,129,109,36,12,107,54,510,.453,.352,.724,38.1,22.2,5.6,4.7
2001-02,22,SHAW,33,1202,256,526,45,129,220,285,,209,205,63,25,154,79,777,.487,.349,.772,36.4,23.5,6.3,6.2
Career,,,90,2078,684,1414,118,345,482,654,,507,370,99,37,261,133,1968,.484,.342,.737,37.1,21.9,5.6,4.1
