Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Derrick Alston,,1.7,1,-0.1,NA
Derrick Chievous,86.3,1.6,1.2,-0.1,NA
Brian Rowsom,84.1,1.5,1,0,NA
Marquese Chriss,82.6,1.8,0.7,-0.2,NA
Dennis Wuycik,82.5,1.4,0.9,-0.1,NA
Rudy Macklin,80.4,1.8,1.4,0.1,NA
Ron Bonham,80.0,1.8,0.7,0.2,NA
Chris Copeland,79.5,2.1,1,-0.1,-0.1
Kevin Loder,79.5,1.5,0.9,0.1,NA
Joey Dorsey,78.5,1.9,0.8,0.1,0
Chris McNealy,78.3,1.6,0.8,0.2,NA
