Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Anthony Goldwire,,3,1.7,1.5,0.3,0.1,0.1,-0.1,-0.1
Tyus Edney,84.8,3.3,1.5,1.4,0.5,NA,NA,NA,NA
Tom Garrick,83.7,2.5,1.8,1.4,0.2,NA,NA,NA,NA
Yogi Ferrell,82.9,3,1.9,1.8,NA,NA,NA,NA,NA
Alan Anderson,82.1,2.7,1.7,1.6,0.4,0.3,0.3,0.1,0.1
Quinton Ross,80.5,3.2,1.7,1.6,0.7,0.6,0,-0.1,NA
Mike Barr,80.2,2.7,1.7,1.4,0.7,0.4,NA,NA,NA
Mike Butler,79.3,3.1,2.3,1.6,0.1,NA,NA,NA,NA
Norman Powell,78.1,2.8,2.4,1.6,0.6,NA,NA,NA,NA
Ralph Johnson,77.7,2.9,1.6,0.8,0,NA,NA,NA,NA
Dennis Hopson,77.0,3.1,2.1,1.7,0.5,-0.3,NA,NA,NA
