,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23,TOT,NBA,,5,,,,,,3,4,,,,,,,11
1967-68,23,STL,NBA,,5,,,,,,3,4,,,,,,,11
1967-68,23,BAL,NBA,,0,2,,,,,1,1,,,1,0,,3,1
1968-69,24,BAL,NBA,,7,,,,,,4,4,,,,,,,17
1969-70,25,LAS,ABA,,12,,1,,,,11,11,,,,,,,29
1969-70,25,DET,NBA,,0,,,,,,0,0,,,,,,,0
1970-71,26,TOT,ABA,,12,,1,,,,7,8,,,,,,,27
1970-71,26,UTS,ABA,,7,,1,,,,7,8,,,,,,,17
1970-71,26,DNR,ABA,,12,,1,,,,7,8,,,,,,,27
Career,,,TOT,,12,,,,,,11,11,,,,,,,29
,,,NBA,,7,,,,,,4,4,,,,,,,17
,,,ABA,,12,,1,,,,11,11,,,,,,,29
,,,,,,,,,,,,,,,,,,,
2 Seasons,,"LAS,UTS",ABA,,12,,1,,,,11,11,,,,,,,29
1 Season,,DNR,ABA,,12,,1,,,,7,8,,,,,,,27
2 Seasons,,BAL,NBA,,7,,,,,,4,4,,,,,,,17
1 Season,,STL,NBA,,5,,,,,,3,4,,,,,,,11
1 Season,,DET,NBA,,0,,,,,,0,0,,,,,,,0
