,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,24,BAL,NBA,,0,1,,,,,0,0,,,1,0,,0,0
1969-70,25,LAS,ABA,,2,4,0,0,2,4,0,0,1,2,3,0,1,1,4
1970-71,26,TOT,ABA,,5,6,0,0,5,6,2,5,3,3,6,3,2,3,12
1970-71,26,DNR,ABA,,5,6,0,0,5,6,2,5,3,3,6,3,2,3,12
Career,,,TOT,,5,6,,,5,,2,5,,,6,3,,3,12
,,,NBA,,0,1,,,,,0,0,,,1,0,,0,0
,,,ABA,,5,6,0,0,5,6,2,5,3,3,6,3,2,3,12
,,,,,,,,,,,,,,,,,,,
1 Season,,LAS,ABA,,2,4,0,0,2,4,0,0,1,2,3,0,1,1,4
1 Season,,DNR,ABA,,5,6,0,0,5,6,2,5,3,3,6,3,2,3,12
1 Season,,BAL,NBA,,0,1,,,,,0,0,,,1,0,,0,0
