Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,23,TOT,NBA,NA,20,95,17,0.559,NA,0.575,NA,NA,NA,4.8,NA,NA,NA,0.3,0.1,0.4,0.186
1967-68,23,STL,NBA,NA,19,85,19.6,0.577,NA,0.579,NA,NA,NA,5.4,NA,NA,NA,0.3,0.1,0.4,0.223
1967-68,23,BAL,NBA,NA,1,10,-5.1,0.205,NA,0.5,NA,NA,NA,0,NA,NA,NA,0,0,0,-0.133
1968-69,24,BAL,NBA,NA,21,86,14.1,0.437,NA,0.278,NA,NA,NA,3.3,NA,NA,NA,-0.1,0.1,0.1,0.041
1969-70,25,TOT,TOT,NA,28,451,20.2,0.525,0.016,0.389,NA,NA,9.3,7.9,10.1,27.2,NA,0.9,0.4,1.3,0.136
1969-70,25,LAS,ABA,NA,26,445,20.5,0.527,0.016,0.39,NA,NA,9.3,8,10.1,27.2,NA,0.9,0.4,1.3,0.141
1969-70,25,DET,NBA,NA,2,6,-7.9,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,-0.2
1970-71,26,TOT,ABA,NA,56,679,13.1,0.508,0.063,0.347,NA,NA,11.3,9.5,18.3,22.4,NA,0.6,0.8,1.4,0.1
1970-71,26,UTS,ABA,NA,17,190,13.6,0.495,0.077,0.356,NA,NA,10.3,8.2,17.8,28.2,NA,0.1,0.3,0.4,0.106
1970-71,26,DNR,ABA,NA,39,489,12.9,0.515,0.055,0.342,NA,NA,11.6,9.9,18.5,20.1,NA,0.5,0.5,1,0.097
Career,NA,,TOT,NA,125,1311,15.9,0.513,0.035,0.371,NA,NA,10.5,8.2,14.7,24.3,NA,1.7,1.4,3.1,0.115
,NA,,ABA,NA,82,1124,16.1,0.517,0.042,0.366,NA,NA,10.5,8.9,14.7,24.3,NA,1.5,1.2,2.7,0.116
,NA,,NBA,NA,43,187,14.9,0.488,NA,0.4,NA,NA,NA,4,NA,NA,NA,0.2,0.2,0.4,0.107
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"LAS,UTS",ABA,NA,43,635,18.5,0.518,0.034,0.38,NA,NA,9.6,8.1,12.5,27.5,NA,1.1,0.7,1.7,0.13
1 season,NA,DNR,ABA,NA,39,489,12.9,0.515,0.055,0.342,NA,NA,11.6,9.9,18.5,20.1,NA,0.5,0.5,1,0.097
2 seasons,NA,BAL,NBA,NA,22,96,12.1,0.428,NA,0.286,NA,NA,NA,3,NA,NA,NA,-0.1,0.1,0,0.023
1 season,NA,STL,NBA,NA,19,85,19.6,0.577,NA,0.579,NA,NA,NA,5.4,NA,NA,NA,0.3,0.1,0.4,0.223
1 season,NA,DET,NBA,NA,2,6,-7.9,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,-0.2
