Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Tom Workman,,1.4,1.3,0.4,0.1
Skal Labissière,95.2,1.4,1.3,0.3,NA
Fred Saunders,89.7,1.3,1.2,0.5,0.1
Mickaël Gelabale,88.4,1.5,1.3,0.2,NA
Joel Freeland,84.4,1.6,1.4,0.2,NA
Tommie Bowens,80.8,1.2,1.1,0.5,NA
Kenny Battle,80.0,1.9,1.3,0.3,0.1
Hank Whitney,76.7,1.8,1.1,0.5,NA
Chris Johnson,76.2,1.4,1.1,0.8,0.2
Rudy Macklin,74.7,1.8,1.4,0.1,NA
Brian Rowsom,73.5,1.5,1,0,NA
