Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Tom Workman,,1.4,1.3,0.4,0.1
Skal Labissière,95.2,1.4,1.3,0.3,NA
Fred Saunders,89.7,1.3,1.2,0.5,0.1
Mickaël Gelabale,88.4,1.5,1.3,0.2,NA
Joel Freeland,84.4,1.6,1.4,0.2,NA
Hilton Armstrong,84.3,1.5,1.2,0.5,-0.1
Tommie Bowens,80.8,1.2,1.1,0.5,NA
Tony Brown,80.4,1.8,1.3,0.5,0.2
Jerry Chambers,80.2,1.5,1.4,0,0
Kenny Battle,80.0,1.9,1.3,0.3,0.1
Tim Kempton,79.6,1.3,1.3,1,0.1
