Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23,TOT,NBA,NA,20,NA,95,7.2,15.2,0.475,NA,NA,NA,7.2,15.2,0.475,6.8,8.7,0.783,NA,NA,9.5,1.1,NA,6.4,21.2
1967-68,23,STL,NBA,NA,19,NA,85,8,16.1,0.5,NA,NA,NA,8,16.1,0.5,7.2,9.3,0.773,NA,NA,10.2,1.3,NA,5.9,23.3
1967-68,23,BAL,NBA,NA,1,NA,10,0,7.2,0,NA,NA,NA,0,7.2,0,3.6,3.6,1,NA,NA,3.6,0,NA,10.8,3.6
1968-69,24,BAL,NBA,NA,21,NA,86,9.2,22.6,0.407,NA,NA,NA,9.2,22.6,0.407,3.8,6.3,0.6,NA,NA,11.3,0.8,NA,6.7,22.2
1969-70,25,TOT,TOT,NA,28,NA,451,9.3,20.1,0.46,0.1,0.3,0.25,9.2,19.8,0.464,6.1,7.8,0.786,3.5,NA,7.5,1.8,2.6,5.6,24.7
1969-70,25,LAS,ABA,NA,26,NA,445,9.4,20.3,0.462,0.1,0.3,0.25,9.3,20,0.466,6.2,7.9,0.786,3.6,4,7.6,1.8,2.7,5.6,25.1
1969-70,25,DET,NBA,NA,2,NA,6,0,6,0,NA,NA,NA,0,6,0,0,0,NA,NA,NA,0,0,NA,6,0
1970-71,26,TOT,ABA,NA,56,NA,679,7.1,16.1,0.439,0.2,1,0.158,6.9,15.1,0.458,4.6,5.6,0.819,3,6.5,9.5,2.5,4.1,6,18.8
1970-71,26,UTS,ABA,NA,17,NA,190,8.3,19.7,0.423,0.4,1.5,0.25,8,18.2,0.438,5.5,7,0.784,3.4,5.3,8.7,2.1,4.9,6.1,22.5
1970-71,26,DNR,ABA,NA,39,NA,489,6.6,14.7,0.447,0.1,0.8,0.091,6.5,13.8,0.468,4.2,5,0.838,2.9,6.9,9.8,2.7,3.8,6,17.4
Career,NA,,TOT,NA,125,NA,1311,8,17.8,0.447,0.1,0.7,0.174,7.9,17.2,0.457,5.2,6.6,0.788,3.2,5.5,8.9,2.1,3.6,5.9,21.3
,NA,,ABA,NA,82,NA,1124,8,17.7,0.449,0.1,0.7,0.174,7.8,17,0.461,5.2,6.5,0.803,3.2,5.5,8.7,2.2,3.6,5.8,21.3
,NA,,NBA,NA,43,NA,187,7.9,18.3,0.432,NA,NA,NA,7.9,18.3,0.432,5.2,7.3,0.711,NA,NA,10,1,NA,6.5,21
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"LAS,UTS",ABA,NA,43,NA,635,9.1,20.1,0.451,0.2,0.7,0.25,8.9,19.4,0.458,6,7.7,0.785,3.5,4.4,7.9,1.9,3.3,5.7,24.3
1 season,NA,DNR,ABA,NA,39,NA,489,6.6,14.7,0.447,0.1,0.8,0.091,6.5,13.8,0.468,4.2,5,0.838,2.9,6.9,9.8,2.7,3.8,6,17.4
2 seasons,NA,BAL,NBA,NA,22,NA,96,8.2,21,0.393,NA,NA,NA,8.2,21,0.393,3.7,6,0.625,NA,NA,10.5,0.7,NA,7.1,20.3
1 season,NA,STL,NBA,NA,19,NA,85,8,16.1,0.5,NA,NA,NA,8,16.1,0.5,7.2,9.3,0.773,NA,NA,10.2,1.3,NA,5.9,23.3
1 season,NA,DET,NBA,NA,2,NA,6,0,6,0,NA,NA,NA,0,6,0,0,0,NA,NA,NA,0,0,NA,6,0
