,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1961-62,23,PHW,NBA,,11,,10,,,,,30
1962-63,24,SFW,NBA,,12,,10,,,,,34
1963-64,25,SFW,NBA,,12,,9,9,,,6,29
1964-65,26,SFW,NBA,,12,22,9,11,17,5,6,32
1965-66,27,SFW,NBA,,11,,11,12,,,,29
1966-67,28,SFW,NBA,,10,,8,11,,,,28
1967-68,29,SEA,NBA,,14,,11,15,19,8,,33
1968-69,30,SEA,NBA,,12,,11,12,,,,30
1969-70,31,SEA,NBA,,12,,10,13,,,,29
1970-71,32,SEA,NBA,,10,,8,9,,,,24
Career,,,,,14,,11,,,,,34
6 Seasons,,"PHW,SFW",NBA,,12,,11,,,,,34
4 Seasons,,SEA,NBA,,14,,11,15,,,,33
