Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Tom Meschery,,7.5,5.2,4.8,4.6,4.4,4.1,3.7,3.1,3.1,3
Robert Reid,94.5,7.2,5.2,4.9,4.5,4.4,4.1,3.5,3,2.3,1.7
Mark Olberding,91.9,6.6,5.1,5.1,4.3,4.2,4.1,4.1,3.9,3.1,2.3
Glenn Robinson,90.2,6.7,4.8,4.7,4.7,4,3.5,3.2,3.1,2.9,1.6
Juwan Howard,89.2,7,6,5.6,4.9,4.6,4.4,3.6,2.8,2.8,1.9
Junior Bridgeman,88.9,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1
Nick Collison,88.5,5.2,5,4.7,4.6,4.5,3.9,3.6,3.6,3.5,2.3
Larry Smith,88.2,6.1,5.4,5.2,4.7,4.3,4,3.7,3.1,2.6,0.3
Thaddeus Young,87.6,7.4,6.3,6.2,5.5,4.6,4.5,4.1,3.5,3.1,2.1
Clarence Weatherspoon,87.5,8.6,6,5.8,5.1,5,4.5,4,3.6,3.5,3.3
Thurl Bailey,87.2,6.8,6.5,5.4,4.6,4,3.7,3.6,3.1,2.6,1.2
