Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1961-62,23,PHW,NBA,PF,80,2509,10.9,0.463,0.282,NA,NA,NA,NA,NA,1.1,2.7,3.7,0.072
1962-63,24,SFW,NBA,PF,64,2245,12.9,0.476,0.335,NA,NA,NA,NA,NA,1.2,1.9,3,0.065
1963-64,25,SFW,NBA,SF,80,2422,14.8,0.499,0.31,NA,NA,NA,NA,NA,3.3,4.2,7.5,0.148
1964-65,26,SFW,NBA,SF,79,2408,12.9,0.463,0.403,NA,NA,NA,6.2,NA,1.3,2.8,4.1,0.081
1965-66,27,SFW,NBA,PF,80,2383,13.2,0.501,0.327,NA,NA,NA,4.5,NA,2.7,2.5,5.2,0.105
1966-67,28,SFW,NBA,PF,72,1846,11.6,0.468,0.346,NA,NA,NA,6.3,NA,0.5,2.6,3.1,0.081
1967-68,29,SEA,NBA,SF,82,2857,13.4,0.513,0.342,NA,NA,NA,8.6,NA,3.2,1.6,4.8,0.081
1968-69,30,SEA,NBA,SF,82,2673,14.5,0.497,0.293,NA,NA,NA,10.1,NA,2.8,1.8,4.6,0.082
1969-70,31,SEA,NBA,SF,80,2294,13.6,0.531,0.303,NA,NA,NA,8.9,NA,2.9,1.5,4.4,0.092
1970-71,32,SEA,NBA,PF,79,1822,13,0.515,0.351,NA,NA,12.2,7.7,NA,2.1,1,3.1,0.081
Career,NA,,NBA,,778,23459,13.1,0.492,0.328,NA,NA,12.2,7.6,NA,21,22.5,43.6,0.089
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,"PHW,SFW",NBA,,455,13813,12.8,0.479,0.333,NA,NA,NA,5.6,NA,10.1,16.6,26.7,0.093
4 seasons,NA,SEA,NBA,,323,9646,13.7,0.513,0.32,NA,NA,12.2,8.9,NA,11,5.9,16.9,0.084
