,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,20,LAC,NBA,PG,76,1237,98%,2%,,,,-0.6,+3.9,46,28,45,7,64,0,389,9,22
2001-02,21,LAC,NBA,PG,14,155,95%,5%,,,,+10.6,+11.7,5,3,7,0,5,0,28,0,2
2002-03,22,LAC,NBA,SG,55,969,62%,38%,,,,-6.6,-2.6,28,16,32,8,18,0,198,6,19
2003-04,23,LAC,NBA,PG,58,1137,86%,14%,,,,-7.4,-3.3,32,25,29,3,37,0,289,6,14
2004-05,24,MIA,NBA,PG,74,1184,92%,8%,,,,+3.2,-5.8,37,17,32,1,37,0,291,4,12
2005-06,25,ORL,NBA,PG,50,1137,59%,41%,1%,,,+2.4,+4.9,39,29,39,6,51,13,235,9,25
2006-07,26,ORL,NBA,SG,66,1435,5%,87%,8%,,,+1.0,-0.1,34,15,37,7,52,15,256,12,29
2007-08,27,ORL,NBA,PG,72,1334,54%,46%,,,,+6.0,+0.2,26,18,39,11,75,21,333,19,30
2008-09,28,NJN,NBA,PG,77,2074,58%,43%,,,,-6.3,-7.3,61,28,33,7,58,14,645,12,21
2009-10,29,NJN,NBA,PG,53,971,74%,25%,1%,,,-3.8,+8.5,30,16,20,6,24,15,300,7,10
2010-11,30,MIL,NBA,PG,80,1757,54%,46%,,,,+3.0,+6.9,57,22,38,4,32,23,531,8,17
2011-12,31,BOS,NBA,SG,46,662,12%,86%,2%,,,-10.8,-17.3,12,12,18,6,11,9,110,1,4
2012-13,32,MEM,NBA,PG,7,82,97%,3%,,,,-8.4,-13.4,1,2,2,0,2,3,18,1,0
Career,,,NBA,,728,14134,60%,39%,1%,,,-1.2,-0.6,408,231,371,66,466,113,3623,94,205
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,LAC,NBA,,203,3498,84%,16%,,,,-4.0,+0.1,111,72,113,18,124,0,904,21,57
3 seasons,,ORL,NBA,,188,3906,37%,60%,3%,,,+3.1,+1.5,99,62,115,24,178,49,824,40,84
2 seasons,,NJN,NBA,,130,3045,63%,37%,,,,-5.5,-2.3,91,44,53,13,82,29,945,19,31
1 season,,MIL,NBA,,80,1757,54%,46%,,,,+3.0,+6.9,57,22,38,4,32,23,531,8,17
1 season,,MIA,NBA,,74,1184,92%,8%,,,,+3.2,-5.8,37,17,32,1,37,0,291,4,12
1 season,,BOS,NBA,,46,662,12%,86%,2%,,,-10.8,-17.3,12,12,18,6,11,9,110,1,4
1 season,,MEM,NBA,,7,82,97%,3%,,,,-8.4,-13.4,1,2,2,0,2,3,18,1,0
