Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Noble Jorgensen,,4.8,3.8,3.6,1.8,-0.5
Blair Rasmussen,89.2,5.2,4.2,3.3,1.8,-0.1
Rasho Nesterović,85.5,5.2,4.1,3,1.5,0
Jim Davis,84.5,4.3,3.8,3.5,0.9,0.2
Zaza Pachulia,84.1,4.8,3.9,2.9,1.1,0.3
George Johnson,81.9,5,3.6,3.5,3.4,0.3
Alex Len,81.9,4.5,3.4,3,1.3,0.2
Rick Robey,81.6,5.5,3.7,3.1,1.9,0.9
Oliver Miller,80.5,5.3,3.8,3.1,1.8,1.6
Kleggie Hermsen,80.4,4.3,3,2.9,1.9,NA
Randy Breuer,80.3,5.1,4.5,3,2.4,0.3
