,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1946-47,21,PIT,BAA,,4,,4,,,,,10
1949-50,24,SHE,NBA,,13,,14,17,,,,35
1950-51,25,TOT,NBA,,12,,11,17,,,,27
1950-51,25,TRI,NBA,,9,,8,11,,,,24
1950-51,25,SYR,NBA,,12,,11,17,,,,27
1951-52,26,SYR,NBA,,7,,7,,,,6,21
1952-53,27,SYR,NBA,,9,,8,11,,,6,21
Career,,,TOT,,13,,14,,,,,35
,,,NBA,,13,,14,,,,,35
,,,BAA,,4,,4,,,,,10
,,,,,,,,,,,,
3 Seasons,,SYR,NBA,,12,,11,,,,,27
1 Season,,SHE,NBA,,13,,14,17,,,,35
1 Season,,PIT,BAA,,4,,4,,,,,10
1 Season,,TRI,NBA,,9,,8,11,,,,24
