Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Noble Jorgensen,,4.8,3.8,3.6,1.8,-0.5,NA,NA,NA,NA,NA,NA,NA
Kleggie Hermsen,83.1,4.3,3,2.9,1.9,-0.5,NA,NA,NA,NA,NA,NA,NA
Dewayne Dedmon,76.7,5.2,4,3.7,2.4,1.7,0.6,NA,NA,NA,NA,NA,NA
Nerlens Noel,75.4,4.3,4,4,3,1.3,NA,NA,NA,NA,NA,NA,NA
Lee Davis,74.8,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,NA,NA,NA,NA
Alex Len,72.4,4.5,3.4,3.2,3,1.3,0.2,NA,NA,NA,NA,NA,NA
Joe Strawder,72.4,4.3,3.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeSagana Diop,72.2,4.1,3.8,3,1.4,1,0.4,0,-0.1,-0.1,-0.2,-0.2,-0.3
Bryant Reeves,71.5,4.9,2.9,2.4,2.3,0.6,-0.1,NA,NA,NA,NA,NA,NA
Bill McGill,71.2,7.1,4.6,3.1,2.2,-0.1,NA,NA,NA,NA,NA,NA,NA
Rick Robey,70.6,5.5,3.7,3.1,1.9,1.4,0.9,-0.2,-0.6,NA,NA,NA,NA
