Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,26,SYR,NBA,PF,26,NA,206,8.7,19.4,0.45,NA,NA,NA,8.7,19.4,0.45,4.4,6.1,0.714,NA,NA,15,0.7,NA,7.3,21.8
1963-64,27,PHI,NBA,PF,79,NA,1740,4.4,10.2,0.435,NA,NA,NA,4.4,10.2,0.435,4.6,6.3,0.721,NA,NA,12.8,1.5,NA,5.7,13.4
1964-65,28,PHI,NBA,SF,64,NA,900,3.8,10.1,0.372,NA,NA,NA,3.8,10.1,0.372,5,7,0.705,NA,NA,11.1,2.1,NA,6.8,12.5
1965-66,29,TOT,NBA,SF,57,NA,773,5.4,13.2,0.408,NA,NA,NA,5.4,13.2,0.408,3,4.5,0.66,NA,NA,10.1,1.2,NA,6,13.8
1965-66,29,PHI,NBA,SF,1,NA,6,6,18,0.333,NA,NA,NA,6,18,0.333,0,0,NA,NA,NA,12,0,NA,6,12
1965-66,29,BAL,NBA,SF,56,NA,767,5.4,13.2,0.409,NA,NA,NA,5.4,13.2,0.409,3,4.6,0.66,NA,NA,10.1,1.2,NA,6,13.8
1966-67,30,BAL,NBA,SF,62,NA,1037,4.3,10.8,0.401,NA,NA,NA,4.3,10.8,0.401,4.7,5.9,0.788,NA,NA,11.3,1.8,NA,6.1,13.3
1967-68,31,ANA,ABA,SF,71,NA,2297,6.8,15.4,0.442,0.8,2.6,0.313,6,12.8,0.468,4.9,6.1,0.805,NA,NA,9.5,1.5,2.5,4.3,19.4
1968-69,32,LAS,ABA,SF,35,NA,876,7.1,17.4,0.407,1.3,5,0.256,5.8,12.4,0.467,4.8,6.4,0.748,2.1,5.9,8,1.1,2.2,5.2,20.2
1969-70,33,DNR,ABA,SF,42,NA,475,4.5,12.9,0.353,1.1,4.4,0.259,3.4,8.5,0.402,4.4,5.8,0.763,2,6.4,8.3,2.3,2.7,7.4,14.6
Career,NA,,TOT,,436,NA,8304,5.5,13.1,0.418,1,3.4,0.284,5.1,11.6,0.435,4.6,6.1,0.751,2.1,6,10.6,1.5,2.5,5.6,16
,NA,,NBA,,288,NA,4656,4.6,11.2,0.413,NA,NA,NA,4.6,11.2,0.413,4.4,6.1,0.724,NA,NA,11.8,1.6,NA,6.1,13.7
,NA,,ABA,,148,NA,3648,6.6,15.6,0.423,1,3.4,0.284,5.6,12.2,0.461,4.8,6.1,0.785,2.1,6,9,1.5,2.5,4.9,18.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"SYR,PHI",NBA,,170,NA,2852,4.5,10.9,0.418,NA,NA,NA,4.5,10.9,0.418,4.7,6.5,0.715,NA,NA,12.4,1.6,NA,6.1,13.7
2 seasons,NA,BAL,NBA,,118,NA,1804,4.8,11.8,0.405,NA,NA,NA,4.8,11.8,0.405,4,5.3,0.742,NA,NA,10.8,1.5,NA,6.1,13.5
2 seasons,NA,"ANA,LAS",ABA,,106,NA,3173,6.9,16,0.431,0.9,3.3,0.289,5.9,12.7,0.467,4.9,6.2,0.789,2.1,5.9,9.1,1.4,2.4,4.6,19.6
1 season,NA,DNR,ABA,,42,NA,475,4.5,12.9,0.353,1.1,4.4,0.259,3.4,8.5,0.402,4.4,5.8,0.763,2,6.4,8.3,2.3,2.7,7.4,14.6
