Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1962-63,26,SYR,NBA,PF,2,9,-5.6,0.174,NA,1,NA,NA,NA,0,NA,NA,NA,-0.1,0,-0.1,-0.431
1963-64,27,PHI,NBA,PF,4,85,12,0.473,NA,0.652,NA,NA,NA,3.2,NA,NA,NA,0.1,0,0.1,0.04
1964-65,28,PHI,NBA,SF,2,6,-0.2,0,NA,0,NA,NA,NA,19.4,NA,NA,NA,0,0,0,-0.143
1965-66,29,BAL,NBA,SF,2,9,-9.2,0.113,NA,0.25,NA,NA,NA,0,NA,NA,NA,-0.1,0,-0.1,-0.445
1969-70,33,DNR,ABA,SF,10,129,8.5,0.531,0.421,0.263,NA,NA,10,9.8,17.5,14.5,NA,0.1,0.2,0.3,0.108
Career,NA,,TOT,,20,238,8.3,0.457,0.229,0.429,NA,NA,10,6.9,17.5,14.5,NA,0,0.2,0.2,0.036
,NA,,ABA,,10,129,8.5,0.531,0.421,0.263,NA,NA,10,9.8,17.5,14.5,NA,0.1,0.2,0.3,0.108
,NA,,NBA,,10,109,8.1,0.38,NA,0.625,NA,NA,NA,3.5,NA,NA,NA,-0.1,0,-0.1,-0.049
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,DNR,ABA,,10,129,8.5,0.531,0.421,0.263,NA,NA,10,9.8,17.5,14.5,NA,0.1,0.2,0.3,0.108
3 seasons,NA,"SYR,PHI",NBA,,8,100,9.7,0.413,NA,0.679,NA,NA,NA,3.8,NA,NA,NA,-0.1,0,0,-0.013
1 season,NA,BAL,NBA,,2,9,-9.2,0.113,NA,0.25,NA,NA,NA,0,NA,NA,NA,-0.1,0,-0.1,-0.445
