Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1962-63,26,SYR,NBA,PF,26,206,16.8,0.494,NA,0.315,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.5,0.117
1963-64,27,PHI,NBA,PF,79,1740,13.5,0.517,NA,0.617,NA,NA,NA,NA,NA,NA,NA,2.4,1.4,3.8,0.104
1964-65,28,PHI,NBA,SF,64,900,11.2,0.472,NA,0.696,NA,NA,NA,7.6,NA,NA,NA,0.6,0.9,1.5,0.08
1965-66,29,TOT,NBA,SF,57,773,9.6,0.453,NA,0.342,NA,NA,NA,4.1,NA,NA,NA,0,0.5,0.6,0.034
1965-66,29,PHI,NBA,SF,1,6,5.2,0.333,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,-0.091
1965-66,29,BAL,NBA,SF,56,767,9.6,0.454,NA,0.345,NA,NA,NA,4.2,NA,NA,NA,0.1,0.5,0.6,0.035
1966-67,30,BAL,NBA,SF,62,1037,11.7,0.496,NA,0.545,NA,NA,NA,6,NA,NA,NA,0.9,0.8,1.7,0.078
1967-68,31,ANA,ABA,SF,71,2297,18.2,0.534,0.169,0.395,NA,NA,11.6,6.4,12.2,20.7,NA,5.6,0.7,6.3,0.132
1968-69,32,LAS,ABA,SF,35,876,15.5,0.5,0.286,0.366,NA,NA,10.1,4.6,9.7,22.8,NA,0.9,0.4,1.4,0.075
1969-70,33,DNR,ABA,SF,42,475,9.6,0.474,0.341,0.447,NA,NA,10.2,8,15,18.7,NA,0.1,0.7,0.8,0.077
Career,NA,,TOT,,436,8304,14,0.505,0.114,0.463,NA,NA,11,6.1,11.9,20.9,NA,10.7,5.7,16.4,0.095
,NA,,NBA,,288,4656,12.2,0.491,NA,0.539,NA,NA,NA,6,NA,NA,NA,4.1,3.9,8,0.083
,NA,,ABA,,148,3648,16.4,0.518,0.219,0.393,NA,NA,11,6.2,11.9,20.9,NA,6.6,1.8,8.4,0.111
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"SYR,PHI",NBA,,170,2852,13,0.5,NA,0.599,NA,NA,NA,7.5,NA,NA,NA,3.2,2.5,5.8,0.097
2 seasons,NA,BAL,NBA,,118,1804,10.8,0.477,NA,0.45,NA,NA,NA,5.2,NA,NA,NA,0.9,1.3,2.2,0.06
2 seasons,NA,"ANA,LAS",ABA,,106,3173,17.5,0.524,0.204,0.386,NA,NA,11.2,5.9,11.5,21.3,NA,6.5,1.1,7.7,0.116
1 season,NA,DNR,ABA,,42,475,9.6,0.474,0.341,0.447,NA,NA,10.2,8,15,18.7,NA,0.1,0.7,0.8,0.077
