Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,TOV,PF,PTS
1967-68,31,ANA,ABA,SF,1,NA,17:00,2,7,0.286,0,3,0,4,4,1,0,1,3,2,2,8
Career,NA,,ABA,,1,NA,17,2,7,0.286,0,3,0,4,4,1,0,1,3,2,2,8
