Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Ben Warley,,6.3,3.8,1.7,1.5,1.4,0.8,0.6,0.5
Josh McRoberts,84.4,6.5,4.9,2.2,1.5,1.4,0.4,0.4,0.1
Larry Krystkowiak,83.3,6.3,2.6,2.1,1.8,1.4,1,0.3,0.1
Jason Maxiell,81.3,6.3,4.1,2.6,1.8,1.8,1.7,0.5,-0.2
Tony Campbell,79.7,5.3,3.7,2.5,1.4,1.1,0.4,0.4,-0.3
Tim Perry,79.3,5.7,2.6,2,1.4,1.4,1.2,0.3,-0.1
Tyler Zeller,78.9,6.5,2.9,2.6,2,1.7,1,0.3,NA
Travis Outlaw,78.5,5.3,3.2,2.3,1.4,0.9,0.9,0.8,0
Kwame Brown,78.4,4.9,3.6,2.5,1.9,1.9,0.8,0.6,0.6
Monk Meineke,77.4,6.1,3.7,2.6,1.8,0.7,NA,NA,NA
Chris Wilcox,76.8,6,4.4,3.4,2.6,1.3,1.1,0.6,0.2
