,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,26,SYR,NBA,,0,,,,,,2,2,,,,0,,2,2
1963-64,27,PHI,NBA,,3,10,,,,,5,7,,,15,,,,11
1964-65,28,PHI,NBA,,0,1,,,,,0,0,,,1,1,,1,0
1965-66,29,TOT,NBA,,0,3,,,,,1,1,,,1,0,,1,1
1965-66,29,BAL,NBA,,0,3,,,,,1,1,,,1,0,,1,1
1969-70,33,DNR,ABA,,4,,2,,,,2,3,,,,,,,12
Career,,,TOT,,4,,,,,,5,7,,,,,,,12
,,,NBA,,3,,,,,,5,7,,,,,,,11
,,,ABA,,4,,2,,,,2,3,,,,,,,12
,,,,,,,,,,,,,,,,,,,
1 Season,,DNR,ABA,,4,,2,,,,2,3,,,,,,,12
3 Seasons,,"PHI,SYR",NBA,,3,,,,,,5,7,,,,,,,11
1 Season,,BAL,NBA,,0,3,,,,,1,1,,,1,0,,1,1
