Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,26,SYR,NBA,PF,2,NA,9,0,16,0,NA,NA,NA,0,16,0,8,16,0.5,NA,NA,12,0,NA,8,8
1963-64,27,PHI,NBA,PF,4,NA,85,3.8,9.7,0.391,NA,NA,NA,3.8,9.7,0.391,4.2,6.4,0.667,NA,NA,14,0.8,NA,4.7,11.9
1964-65,28,PHI,NBA,SF,2,NA,6,0,6,0,NA,NA,NA,0,6,0,0,0,NA,NA,NA,6,6,NA,6,0
1965-66,29,BAL,NBA,SF,2,NA,9,0,16,0,NA,NA,NA,0,16,0,4,4,1,NA,NA,8,0,NA,8,4
1969-70,33,DNR,ABA,SF,10,NA,129,4.5,10.6,0.421,2,4.5,0.438,2.5,6.1,0.409,1.7,2.8,0.6,NA,NA,8.1,3.1,2.5,7.5,12.6
Career,NA,,TOT,,20,NA,238,3.8,10.6,0.357,2,4.5,0.438,2.7,8.2,0.333,2.9,4.5,0.633,NA,NA,10.3,2.1,2.5,6.5,11.5
,NA,,ABA,,10,NA,129,4.5,10.6,0.421,2,4.5,0.438,2.5,6.1,0.409,1.7,2.8,0.6,NA,NA,8.1,3.1,2.5,7.5,12.6
,NA,,NBA,,10,NA,109,3,10.6,0.281,NA,NA,NA,3,10.6,0.281,4.3,6.6,0.65,NA,NA,12.9,1,NA,5.3,10.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,DNR,ABA,,10,NA,129,4.5,10.6,0.421,2,4.5,0.438,2.5,6.1,0.409,1.7,2.8,0.6,NA,NA,8.1,3.1,2.5,7.5,12.6
3 seasons,NA,"SYR,PHI",NBA,,8,NA,100,3.2,10.1,0.321,NA,NA,NA,3.2,10.1,0.321,4.3,6.8,0.632,NA,NA,13.3,1.1,NA,5,10.8
1 season,NA,BAL,NBA,,2,NA,9,0,16,0,NA,NA,NA,0,16,0,4,4,1,NA,NA,8,0,NA,8,4
