,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,26,SYR,NBA,,6,,,,,,4,,,,,,,,14
1963-64,27,PHI,NBA,,11,,,,,,11,15,,,,,,,31
1964-65,28,PHI,NBA,,6,11,,,,,11,16,,,12,,,6,17
1965-66,29,TOT,NBA,,7,,,,,,7,10,,,,,,,21
1965-66,29,PHI,NBA,,1,3,,,,,0,0,,,2,0,,1,2
1965-66,29,BAL,NBA,,7,,,,,,7,10,,,,,,,21
1966-67,30,BAL,NBA,,9,,,,,,8,10,,,,,,,22
1967-68,31,ANA,ABA,,19,,5,,,,18,21,,,,,,,43
1968-69,32,LAS,ABA,,16,,4,,,,10,12,,,,,,,40
1969-70,33,DNR,ABA,,5,,3,,,,5,7,,,,,,,14
Career,,,TOT,,19,,,,,,18,,,,,,,,43
,,,NBA,,11,,,,,,11,,,,,,,,31
,,,ABA,,19,,5,,,,18,21,,,,,,,43
,,,,,,,,,,,,,,,,,,,
4 Seasons,,"PHI,SYR",NBA,,11,,,,,,11,,,,,,,,31
2 Seasons,,BAL,NBA,,9,,,,,,8,10,,,,,,,22
2 Seasons,,"ANA,LAS",ABA,,19,,5,,,,18,21,,,,,,,43
1 Season,,DNR,ABA,,5,,3,,,,5,7,,,,,,,14
