Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Ben Warley,,6.3,3.8,1.7,1.5,1.4,0.8,0.6,0.5,NA,NA,NA,NA
Josh McRoberts,86.2,6.5,4.9,2.2,1.5,1.4,0.8,0.4,0.4,0.3,0.1,0,NA
Larry Krystkowiak,83.0,6.3,2.6,2.1,1.8,1.4,1,0.3,0.1,0.1,NA,NA,NA
Brian Cardinal,82.4,7.2,3.5,1.7,0.9,0.9,0.6,0.4,0.2,0,0,0,0
Jason Maxiell,79.8,6.3,4.1,2.6,1.8,1.8,1.7,1.4,0.5,0.3,-0.2,NA,NA
Travis Outlaw,79.8,5.3,3.2,2.3,1.4,1.4,0.9,0.9,0.8,0.3,0,-0.1,NA
Tim Perry,79.3,5.7,2.6,2,1.4,1.4,1.2,0.3,-0.1,NA,NA,NA,NA
Tyler Zeller,78.9,6.5,2.9,2.6,2,1.7,1,0.3,NA,NA,NA,NA,NA
Monk Meineke,77.4,6.1,3.7,2.6,1.8,0.7,NA,NA,NA,NA,NA,NA,NA
Albert King,75.7,5.7,4.3,2.4,1.9,1.9,0.2,0.1,0,-0.1,NA,NA,NA
Kyle O'Quinn,75.4,4.8,3.9,2.5,1.6,1.6,1.4,1,NA,NA,NA,NA,NA
