Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Donald Hodge,,1.5,0.8,0.3,0.1,-0.9
Scott Lloyd,54.6,1.3,1,0.6,-0.1,-0.6
Melvin Ely,54.3,2,0.8,0.4,0.1,-0.3
Bob Elliott,52.6,1.6,0.8,0.7,NA,NA
Robert Sacre,49.4,1.4,0.8,0.3,-0.1,NA
Mark McNamara,48.8,1.2,0.6,0.4,0,-0.2
Gene Tormohlen,45.5,1.4,0.8,0.1,0,0
Earl Williams,44.4,1.3,1,0.4,0,NA
Chris Anstey,43.7,1.9,0.6,0.3,NA,NA
William Bedford,43.3,1.3,0.3,0.2,-0.1,-0.8
Zendon Hamilton,42.6,1.8,1.1,0.1,0,0
