Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Donald Hodge,,1.5,0.8,0.3,0.1,-0.9,NA
Bob Elliott,52.6,1.6,0.8,0.7,NA,NA,NA
Robert Sacre,49.4,1.4,0.8,0.3,-0.1,NA,NA
Gene Tormohlen,45.2,1.4,0.8,0.1,0,0,0
Earl Williams,44.4,1.3,1,0.4,0,NA,NA
Chris Anstey,43.7,1.9,0.6,0.3,NA,NA,NA
Josh Harrellson,40.8,1.4,0.7,0,NA,NA,NA
Granville Waiters,40.2,1.3,0.5,0.2,0,-0.2,NA
Zendon Hamilton,39.7,1.8,1.1,0.1,0.1,0,0
Pétur Guðmundsson,39.3,1.4,0.6,0.3,-0.1,NA,NA
Steve Hayes,36.6,1.2,0.9,0.3,0.3,0.2,NA
