Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Steve Bracey,,2.1,1.5,0.3,NA,NA
Quinn Cook,89.1,1.8,1.6,0.2,NA,NA
Kevin O'Shea,85.9,2.1,1.2,0.5,NA,NA
Chink Crossin,83.8,2.1,1.2,0.5,NA,NA
Kenny Rollins,83.8,2.6,1.5,0.1,NA,NA
Kenny Higgs,83.1,2.2,1.5,1,NA,NA
Richie Regan,82.1,1.6,1.5,0.4,NA,NA
Rodrigue Beaubois,81.6,2.2,2,0.4,0.2,NA
Eric Maynor,79.3,1.9,1.5,0.2,0.1,-0.4
David Nwaba,78.6,2.4,1.4,0.8,NA,NA
Lloyd Daniels,78.0,1.8,1.1,0.2,0.1,0
