Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Gene Wiley,,2.8,2.4,1.8,1.3,-0.1,NA,NA
Victor Alexander,88.9,3,2.5,2.3,1.1,-0.1,NA,NA
Bob Hopkins,86.6,3.5,2.7,1.9,1.4,NA,NA,NA
Salah Mejri,86.6,3,2.7,1.3,1.1,NA,NA,NA
Tarik Black,85.8,3.1,2.4,1.5,0.7,NA,NA,NA
Boban Marjanović,83.0,3.4,3,1.7,1.5,NA,NA,NA
Art Spoelstra,79.5,3.7,1.8,1.7,1.4,NA,NA,NA
Ekpe Udoh,79.2,3.2,2.7,2.1,1.6,0.7,0.3,0
Jeff Withey,78.8,2.3,1.8,1.8,0.8,0,NA,NA
Hub Reed,77.9,2.8,2,1.7,1.3,1,0.6,0
Jim McIlvaine,77.6,3,1.9,1.8,1.5,0.8,0.3,0.1
