Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,25,LAL,NBA,C,75,,19.8,1.5,3.1,.462,,,,1.5,3.1,.462,.462,0.3,0.9,.338,,,6.7,0.5,,2.4,3.2
1963-64,26,LAL,NBA,C,78,,19.4,1.9,3.5,.535,,,,1.9,3.5,.535,.535,0.6,1.0,.600,,,6.5,0.6,,2.9,4.3
1964-65,27,LAL,NBA,C,80,,25.0,2.2,4.7,.465,,,,2.2,4.7,.465,.465,0.7,1.4,.505,,,8.6,1.3,,2.9,5.1
1965-66,28,LAL,NBA,C,67,,20.7,1.8,4.3,.426,,,,1.8,4.3,.426,.426,0.6,1.1,.566,,,7.3,0.9,,2.6,4.3
1966-67,29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1967-68,30,TOT,ABA,C,9,,9.4,0.8,2.2,.350,0.0,0.0,,0.8,2.2,.350,.350,0.4,0.9,.500,,,2.2,0.2,0.2,1.1,2.0
1967-68,30,OAK,ABA,C,8,,8.0,0.9,2.4,.368,0.0,0.0,,0.9,2.4,.368,.368,0.4,0.6,.600,,,2.1,0.3,0.0,0.9,2.1
1967-68,30,DLC,ABA,C,1,,21.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.0,3.0,.333,,,3.0,0.0,2.0,3.0,1.0
Career,NA,,TOT,,309,,20.9,1.8,3.9,.469,0.0,0.0,,1.8,3.9,.469,.469,0.6,1.1,.506,,,7.2,0.8,0.2,2.7,4.2
,NA,,NBA,,300,,21.3,1.8,3.9,.471,,,,1.8,3.9,.471,.471,0.6,1.1,.506,,,7.3,0.8,,2.7,4.2
,NA,,ABA,,9,,9.4,0.8,2.2,.350,0.0,0.0,,0.8,2.2,.350,.350,0.4,0.9,.500,,,2.2,0.2,0.2,1.1,2.0
,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,NA,LAL,NBA,,300,,21.3,1.8,3.9,.471,,,,1.8,3.9,.471,.471,0.6,1.1,.506,,,7.3,0.8,,2.7,4.2
1 season,NA,OAK,ABA,,8,,8.0,0.9,2.4,.368,0.0,0.0,,0.9,2.4,.368,.368,0.4,0.6,.600,,,2.1,0.3,0.0,0.9,2.1
1 season,NA,DLC,ABA,,1,,21.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.0,3.0,.333,,,3.0,0.0,2.0,3.0,1.0
