Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1962-63,25,LAL,NBA,C,75,1488,7.7,0.453,NA,0.288,NA,NA,NA,NA,NA,NA,NA,0,1.8,1.8,0.058
1963-64,26,LAL,NBA,C,78,1510,10.4,0.551,NA,0.275,NA,NA,NA,NA,NA,NA,NA,1.8,1.1,2.8,0.09
1964-65,27,LAL,NBA,C,80,2002,10.3,0.478,NA,0.295,NA,NA,NA,6.8,NA,NA,NA,0.9,1.5,2.4,0.058
1965-66,28,LAL,NBA,C,67,1386,8.9,0.448,NA,0.263,NA,NA,NA,5.4,NA,NA,NA,0,1.3,1.3,0.045
1967-68,30,TOT,ABA,C,9,85,6.1,0.383,0,0.4,NA,NA,10.4,3.2,7.8,11,NA,-0.1,0,-0.1,-0.035
1967-68,30,OAK,ABA,C,8,64,10.4,0.401,0,0.263,NA,NA,11.5,4.2,0,12,NA,-0.1,0,0,-0.028
1967-68,30,DLC,ABA,C,1,21,-6.9,0.216,0,3,NA,NA,6.7,0,46.3,7.9,NA,0,0,0,-0.057
Career,NA,,TOT,,309,6471,9.3,0.481,0,0.283,NA,NA,10.4,6.1,7.8,11,NA,2.6,5.7,8.3,0.062
,NA,,NBA,,300,6386,9.4,0.482,NA,0.281,NA,NA,NA,6.2,NA,NA,NA,2.7,5.7,8.4,0.063
,NA,,ABA,,9,85,6.1,0.383,0,0.4,NA,NA,10.4,3.2,7.8,11,NA,-0.1,0,-0.1,-0.035
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,LAL,NBA,,300,6386,9.4,0.482,NA,0.281,NA,NA,NA,6.2,NA,NA,NA,2.7,5.7,8.4,0.063
1 season,NA,OAK,ABA,,8,64,10.4,0.401,0,0.263,NA,NA,11.5,4.2,0,12,NA,-0.1,0,0,-0.028
1 season,NA,DLC,ABA,,1,21,-6.9,0.216,0,3,NA,NA,6.7,0,46.3,7.9,NA,0,0,0,-0.057
