,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,25,LAL,NBA,,5,,,,,,2,,,,,,,,11
1963-64,26,LAL,NBA,,6,,,,,,5,6,,,,,,,16
1964-65,27,LAL,NBA,,6,,,,,,4,9,,,,,,,13
1965-66,28,LAL,NBA,,6,,,,,,4,6,,,,,,,15
1967-68,30,TOT,ABA,,2,,0,,,,1,3,,,,,,,5
1967-68,30,OAK,ABA,,2,,0,,,,1,1,,,,,,,5
1967-68,30,DLC,ABA,,0,,0,,,,1,3,,,,,,,1
Career,,,TOT,,6,,,,,,5,,,,,,,,16
,,,NBA,,6,,,,,,5,,,,,,,,16
,,,ABA,,2,,0,,,,1,3,,,,,,,5
,,,,,,,,,,,,,,,,,,,
4 Seasons,,LAL,NBA,,6,,,,,,5,,,,,,,,16
1 Season,,OAK,ABA,,2,,0,,,,1,1,,,,,,,5
1 Season,,DLC,ABA,,0,,0,,,,1,3,,,,,,,1
