Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Gene Wiley,,2.8,2.4,1.8,1.3,-0.1
Victor Alexander,88.9,3,2.5,2.3,1.1,-0.1
Francisco Elson,88.6,3.1,2.9,1.8,1.6,0
Meyers Leonard,88.2,2.8,2.4,2.2,1.4,0.6
Bob Hopkins,86.6,3.5,2.7,1.9,1.4,NA
Salah Mejri,86.6,3,2.7,1.3,1.1,NA
Tarik Black,85.8,3.1,2.4,1.5,0.7,NA
Hub Reed,83.1,2.8,2,1.7,1.3,1
Boban Marjanović,83.0,3.4,3,1.7,1.5,NA
Spencer Hawes,82.0,2.9,2.4,2.1,0.8,0.6
Ian Mahinmi,81.8,3.4,2.3,1.8,0.7,0.2
