Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Elliot Williams,,0.3,0.3,0.1,0
James Young,83.4,0.3,0.3,0.1,0.1
Julyan Stone,76.7,0.4,0.3,0.2,0.1
Rusty LaRue,76.0,0.3,0.3,0.1,-0.1
Jordan McRae,72.0,0.5,0.4,0.2,NA
Briante Weber,71.3,0.4,0.3,0,NA
Milt Williams,68.2,0.4,0.2,0.1,0.1
Pete Myers,68.0,0.5,0.3,0,-0.1
Lance Blanks,66.6,0.4,0.2,0.1,NA
Jorge Gutiérrez,65.9,0.3,0.3,0.2,NA
Xavier Henry,63.6,0.3,0.2,0.2,0
