Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Elliot Williams,,0.3,0.3,0.1,0,NA
James Young,83.4,0.3,0.3,0.1,0.1,NA
Julyan Stone,76.7,0.4,0.3,0.2,0.1,NA
Jordan McRae,72.0,0.5,0.4,0.2,NA,NA
Briante Weber,71.3,0.4,0.3,0,NA,NA
Rusty LaRue,68.5,0.3,0.3,0.1,-0.1,-0.1
Milt Williams,68.2,0.4,0.2,0.1,0.1,NA
Lance Blanks,66.6,0.4,0.2,0.1,NA,NA
Jorge Gutiérrez,65.9,0.3,0.3,0.2,NA,NA
James White,63.3,0.5,0.3,0,NA,NA
Anthony Jones,63.0,0.5,0.3,0,NA,NA
