Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Nate Wolters,,1.2,-0.1,-0.2,NA,NA
Charles Smith,86.0,1.1,0,-0.2,NA,NA
Ray Corley,67.6,1.2,0,-0.4,NA,NA
Orlando Johnson,62.3,1.5,0.1,-0.2,NA,NA
Kyle Weaver,57.1,1.2,0.3,0,NA,NA
Willie Jones,51.8,1.3,0,-0.1,-0.1,-0.2
Wayne Chapman,45.9,1,0.1,0,-0.1,NA
Lowes Moore,43.3,1.1,0.2,0.2,NA,NA
Willie Smith,42.8,1,0.3,0,0,NA
Tate George,36.1,1.1,0.4,0,-0.1,NA
Eddie Hughes,34.9,1,0.4,0,NA,NA
