Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Matt Geiger,,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1
Sam Bowie,93.5,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1
Steve Johnson,90.0,4.9,4.4,4.4,4.4,3.1,2.4,1.7,1.3,0.2,0
Kelvin Cato,89.4,5.3,4.6,4.3,4.2,3.8,2.7,1.7,1.6,0.3,0.1
JaVale McGee,89.0,5.3,4.9,4.1,3.5,2.7,2.1,2,1.1,0.4,-0.1
Chris Andersen,86.5,5.9,5.4,4.5,3.2,2.4,1.9,1.3,1.1,0.3,0
Herb Williams,86.3,6.2,4.7,4.6,3.5,2.8,2.2,2.2,1.8,1.7,1.4
Benoit Benjamin,85.9,5.4,5.1,4.1,4,3,2.2,2.2,2,1.1,0.9
Will Perdue,85.6,4.7,4.7,4.4,3.4,2.5,2.5,2.3,0.5,0.2,-0.1
Andrew Lang,85.1,5.7,4.9,3.7,3,2.9,2.3,1.9,1.7,1.4,0.7
Connie Simmons,85.0,6.1,5.7,5.3,3.3,2.6,2.5,2.4,1.1,0.1,NA
