Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Michael Stewart,,3,0.7,0.2,0.2,0.2,0.1,0.1,0.1
Deyonta Davis,72.7,2.7,0.5,0.4,NA,NA,NA,NA,NA
Evan Eschmeyer,72.5,2.5,0.7,0.5,0.2,NA,NA,NA,NA
Greg Smith,71.8,4,0.8,0.2,0.2,0.2,NA,NA,NA
Dave Hoppen,71.1,2.6,0.8,0.2,0,0,-0.1,NA,NA
Gustavo Ayón,63.9,3.2,1.2,0.7,NA,NA,NA,NA,NA
Sean Williams,61.2,2.5,0.4,0.3,-0.2,NA,NA,NA,NA
Ivica Zubac,60.7,3.2,1.1,1,NA,NA,NA,NA,NA
George Johnson,60.6,2.4,0.3,0.2,0.1,NA,NA,NA,NA
Jack Haley,58.2,2.2,0.4,0.3,0.2,0.1,0,0,-0.3
Will Frazier,58.0,3.8,0.9,-0.1,NA,NA,NA,NA,NA
