Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Devin Brown,,3.7,3.5,2.4,1.7,1.4,0.4,0.1,-0.1
Jim King,90.3,3.7,3.5,2.3,1.5,1.3,1.1,0.4,-0.1
Tyronn Lue,87.9,3.7,3.7,2.7,2.1,2,0.4,0.3,0.2
Tony Snell,87.4,3.4,3.2,2.4,2.4,1.6,0.4,NA,NA
Sasha Vujačić,87.0,3.7,3.6,2.1,2,1.8,1.4,0.2,-0.1
Charlie Bell,85.7,4,3.3,2.2,2,1.3,-0.1,-0.2,NA
Charlie Criss,85.3,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0
Whitey Skoog,85.2,4.1,3.6,2.9,1.9,1,0.7,NA,NA
Andre Roberson,83.2,4.2,3.4,2.2,2.1,0.8,NA,NA,NA
Trenton Hassell,83.1,4,2.7,2.6,2.3,1.5,0.7,0.2,-0.1
Daniel Gibson,82.9,4.1,3.8,2.6,2.4,2,0.5,0.5,NA
