Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Devin Brown,,3.7,3.5,2.4,1.7,1.4,0.4,0.1,-0.1,NA
Tony Snell,87.4,3.4,3.2,2.4,2.4,1.6,0.4,NA,NA,NA
Charlie Bell,85.7,4,3.3,2.2,2,1.3,-0.1,-0.2,NA,NA
Charlie Criss,85.3,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0,NA
Whitey Skoog,85.2,4.1,3.6,2.9,1.9,1,0.7,NA,NA,NA
Andre Roberson,83.2,4.2,3.4,2.2,2.1,0.8,NA,NA,NA,NA
Daniel Gibson,82.9,4.1,3.8,2.6,2.4,2,0.5,0.5,NA,NA
Trenton Hassell,82.7,4,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1
Geoff Huston,81.6,3.4,3,2.6,1.8,1.7,0,-0.3,-0.4,NA
Elfrid Payton,81.2,4.4,2.8,2.3,2.2,1.5,NA,NA,NA,NA
Greivis Vásquez,81.0,3.8,3.6,2.8,2.3,0.5,0,-0.3,NA,NA
