Season,Team,Lg,Salary
1984-85,Chicago Bulls,NBA,"$300,000"
1985-86,Chicago Bulls,NBA,"$300,000"
1986-87,New Jersey Nets,NBA,"$600,000"
1987-88,New Jersey Nets,NBA,"$1,200,000"
1988-89,Los Angeles Lakers,NBA,"$500,000"
1990-91,Denver Nuggets,NBA,"$805,000"
1991-92,Detroit Pistons,NBA,"$957,000"
1992-93,Detroit Pistons,NBA,"$1,108,000"
1993-94,Milwaukee Bucks,NBA,"$1,542,000"
1993-94,Philadelphia 76ers,NBA,"$150,000"
1994-95,Milwaukee Bucks,NBA,"$2,367,000"
Career,(may be incomplete),,"$9,829,000"
