Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Orlando Woolridge,,9,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,2.3,1.8,1.5,0.8,NA,NA,NA
James Posey,91.2,10,6.2,5.4,5.2,4.3,4.2,4.2,3.8,2.7,2.4,2.3,1,NA,NA,NA,NA
Boris Diaw,91.0,8.9,6.2,4.9,4.8,4.7,4.6,4.4,3.8,3.6,3,1.1,0.8,0.6,0.1,NA,NA
Josh Smith,91.0,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4,2.3,1.1,0,0,NA,NA,NA
Udonis Haslem,90.4,9.2,7,6,5.7,5.1,4.8,3.5,3.2,2.5,1.4,1.1,0.9,0.4,0.2,-0.1,-0.1
Johnny Green,90.1,9.5,8.4,5.6,5.3,5.1,5.1,3.8,3.7,2.6,2.4,2.3,1.7,1.5,1.2,NA,NA
Jeff Foster,89.9,8.3,6.5,5.7,5.4,4.5,4.2,4.2,3,2.7,1.6,0.6,0.4,0.4,NA,NA,NA
Tyrone Hill,89.5,9.9,6.9,5.7,5.7,5.5,4.9,4.8,4.5,2.2,2.1,1.9,1.4,0.6,0.1,NA,NA
Caron Butler,89.4,7.2,6.3,5.3,5.3,5.1,4.5,3.6,3.5,2.4,2.3,2.1,1.8,1.2,0.3,NA,NA
Kenyon Martin,89.0,7.1,6.7,5.3,5,4.9,4,3.8,3.3,2.7,2.1,1.2,1.2,0.9,0.2,0,NA
Mike Dunleavy,88.7,8.5,6.5,5.2,5.1,4.9,4.5,4.4,4.4,4.2,4.1,2.3,1.5,1.5,0.9,0.5,NA
