Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Ian Clark,,2.3,1.1,0.9,0.2,-0.1,-0.1
Courtney Alexander,86.3,2.2,1.1,0.8,NA,NA,NA
Mike Holton,85.8,2.3,1.3,0.8,0.3,0.2,-0.2
A.J. Price,83.3,2.2,1.2,0.7,0.3,0.3,0
Mike Davis,83.2,2.2,1.2,0.9,0.6,NA,NA
Johnny High,81.5,2.5,1.2,1.1,-0.1,NA,NA
David Nwaba,81.0,2.4,1.4,0.8,NA,NA,NA
Bo Lamar,80.1,2.5,1.5,1,0.5,NA,NA
Dirk Minniefield,80.0,1.9,1.1,1.1,NA,NA,NA
Mo Layton,79.8,1.9,1.1,1,0.3,0.1,NA
Kenny Higgs,79.0,2.2,1.5,1,NA,NA,NA
