Thru 21 Years,Thru 21 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Vince Carter,,12.9,11.8,10.5,9.4,9.3,7.7,7.5,7.4,7,6,6,5,4.3,4.2,4,3.8,2.9,1.9,1.8,1.2,1
Terry Porter,91.5,13,11.7,10.6,9.8,9.2,8.8,6.8,5.6,5.4,5.4,5.2,5,3.7,3.5,2.7,2.3,1.7,NA,NA,NA,NA
Eddie Jones,87.0,10.5,10.1,10.1,9.6,9.1,8,7.9,7.2,6.8,6,6,5,3.1,1.1,NA,NA,NA,NA,NA,NA,NA
Allen Iverson,86.9,11.8,11.6,10.6,9.2,9,9,7.2,6.9,6.9,6.2,4.1,2.9,2.8,0.7,NA,NA,NA,NA,NA,NA,NA
Tony Parker,86.7,9.6,9.6,9.3,8.6,8.2,8.1,7.7,7.5,7.1,7,5.9,5.8,4.1,3.8,3.6,3,1.4,0.9,NA,NA,NA
Hal Greer,86.6,11.2,9.9,9.5,8.5,8.2,8.1,7.9,7.6,6.6,6.2,5.8,5.1,4.5,3.5,0.1,NA,NA,NA,NA,NA,NA
Jeff Hornacek,86.0,11.6,10.2,10.2,10.1,9.7,9.5,8.7,7.7,6.9,6.5,6.3,5.3,5,1.2,NA,NA,NA,NA,NA,NA,NA
Ray Allen,85.3,13.7,11.1,10.7,10.1,10,9.7,9.5,9.1,8.9,7.9,7,6.9,6.3,5.4,5.2,4.9,4.7,4.1,NA,NA,NA
Manu Ginóbili,85.3,11.1,11,10.6,9.9,9.7,9.1,8.8,5.7,5,4.5,4.2,4.2,3.8,3.7,3,2.2,NA,NA,NA,NA,NA
Jason Kidd,85.2,11.3,10.1,9.6,9.3,8.9,8.9,8.5,8.5,8.1,8,7.2,7.2,6.4,5.9,5.4,4.4,4.3,3.7,3,NA,NA
Steve Nash,84.9,12.6,12.4,11.6,10.9,10.5,9.9,9.9,8.8,8.4,7.9,7.3,5.9,4.8,4.3,3,1,0.7,0.1,NA,NA,NA
