,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1948-49,21,NYK,BAA,,5,,13,15,,,6,21
1949-50,22,NYK,NBA,,6,15,8,8,,1,6,20
1950-51,23,NYK,NBA,,6,,12,15,,,6,22
1951-52,24,NYK,NBA,,6,,7,8,,,5,18
1952-53,25,NYK,NBA,,8,,10,13,,,5,23
1953-54,26,NYK,NBA,,6,14,11,14,,2,5,16
1954-55,27,NYK,NBA,,8,,7,,,,5,20
1955-56,28,NYK,NBA,,5,12,9,11,10,1,3,19
1957-58,30,DET,NBA,,9,,8,9,,,6,21
Career,,,TOT,,9,,13,,,,6,23
,,,NBA,,9,,12,,,,6,23
,,,BAA,,5,,13,15,,,6,21
,,,,,,,,,,,,
8 Seasons,,NYK,NBA,,8,,13,,,,6,23
1 Season,,DET,NBA,,9,,8,9,,,6,21
