Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Harry Gallatin,,11.8,11.3,8.9,8.3,8.1,7.8,7.6,6.1,5.6,2.8
LaMarcus Aldridge,92.0,11.1,10.1,9.5,8.8,8.6,7.5,7.2,7,6.2,3.4
Billy Cunningham,91.8,11.9,10.3,10,9,8.3,6.8,6.4,6.1,5,3.5
Dennis Rodman,91.8,12.6,9.3,8.7,8.7,8.1,6.8,6.2,5.8,5.5,2.9
Rasheed Wallace,91.6,11,9.7,9.3,8.5,7.6,7.1,6.4,6.2,5,2.3
John Havlicek,91.2,12.5,12.4,10.6,8.3,7.7,7.6,7.3,6.4,4.5,4.3
James Worthy,91.2,10.6,9.7,9.5,9.3,9,7.9,7.5,6.5,5.1,3.1
George McGinnis,90.9,11.6,11.4,10.1,8.6,8.5,7.9,7.1,5.3,1.9,1.7
Chris Webber,90.8,11,10.7,9.3,8.6,8.3,7.8,6.9,4,3.6,1.9
Buck Williams,90.6,11.4,8.9,8.7,8.5,7.9,7.7,7.6,7.3,6.8,5.2
A.C. Green,90.5,9.4,9.3,8.8,8.6,7.9,7.7,7.6,6.7,6.1,3.3
