,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1948-49,21,NYK,BAA,,10,,9,11,,,,21
1949-50,22,NYK,NBA,,9,,14,17,,,,26
1950-51,23,NYK,NBA,,11,,12,14,,,,29
1951-52,24,NYK,NBA,,10,,13,14,,,6,25
1952-53,25,NYK,NBA,,10,,12,,,,,30
1953-54,26,NYK,NBA,,9,,15,17,,,,30
1954-55,27,NYK,NBA,,10,,19,21,,,6,30
1955-56,28,NYK,NBA,,12,,13,16,,,6,34
1956-57,29,NYK,NBA,,12,,13,16,,,6,32
1957-58,30,DET,NBA,,10,,15,20,,,,29
Career,,,TOT,,12,,19,,,,,34
,,,NBA,,12,,19,,,,,34
,,,BAA,,10,,9,11,,,,21
,,,,,,,,,,,,
9 Seasons,,NYK,NBA,,12,,19,,,,,34
1 Season,,DET,NBA,,10,,15,20,,,,29
