Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jeff Withey,,2.3,1.8,1.8,0.8,0,NA
Luther Rackley,81.4,1.9,1.8,1.3,0.8,0.1,NA
Predrag Drobnjak,79.7,2.4,1.6,1,0.7,NA,NA
Bob Christian,79.3,2.4,1.9,0.9,0.5,0,NA
Gene Wiley,78.8,2.8,2.4,1.8,1.3,-0.1,NA
George Nostrand,77.0,2,2,1.3,0.4,NA,NA
Tarik Black,76.7,3.1,2.4,1.5,0.7,NA,NA
Greg Stiemsma,76.5,2.7,1.7,1.5,0.1,NA,NA
Jeff Wilkins,75.6,2.4,2.3,2.3,1,0.5,0.3
Tom LaGarde,75.5,2.7,2.2,1.7,0.4,0,-0.5
Festus Ezeli,74.6,2.7,1.7,1.5,NA,NA,NA
