,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2013-14,23,NOP,NBA,C,58,684,.535,3.8,.992,.659,.233,.078,.016,.008,.539,.565,.400,.700,1.000,.000,.826,.202,19,,.000,,0,0
2014-15,24,NOP,NBA,C,37,259,.500,4.3,1.000,.563,.281,.109,.047,.000,.500,.611,.278,.429,.667,,.844,.141,8,,,,0,0
2015-16,25,UTA,NBA,C,51,658,.537,4.2,.988,.586,.259,.086,.056,.012,.544,.653,.405,.429,.222,.000,.805,.198,27,,.000,,1,0
2016-17,26,UTA,NBA,C,51,432,.534,3.3,.990,.777,.165,.019,.029,.010,.539,.600,.235,1.000,.333,.000,.600,.068,5,,.000,,1,0
2017-18,27,DAL,NBA,C,9,39,.375,16.8,.375,.250,.063,.000,.063,.625,.667,1.000,.000,,.000,.200,.750,.125,2,1.000,.200,.500,0,0
Career,,,NBA,,206,2072,.525,4.3,.970,.633,.228,.070,.038,.030,.537,.613,.352,.545,.389,.143,.769,.160,61,1.000,.143,.500,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,UTA,NBA,,102,1090,.536,3.9,.989,.660,.223,.060,.045,.011,.542,.629,.356,.500,.250,.000,.725,.147,32,,.000,,2,0
2 seasons,,NOP,NBA,,95,943,.523,4.0,.995,.627,.249,.088,.026,.005,.526,.579,.354,.588,.800,.000,.832,.181,27,,.000,,0,0
1 season,,DAL,NBA,,9,39,.375,16.8,.375,.250,.063,.000,.063,.625,.667,1.000,.000,,.000,.200,.750,.125,2,1.000,.200,.500,0,0
