Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jeff Withey,,2.3,1.8,1.8,0.8,0
Zaid Abdul-Aziz,86.7,2,1.9,1.8,1,-0.3
Jim McIlvaine,85.0,3,1.9,1.8,0.8,0.3
Luther Rackley,81.4,1.9,1.8,1.3,0.8,0.1
Predrag Drobnjak,79.7,2.4,1.6,1,0.7,NA
Bob Christian,79.3,2.4,1.9,0.9,0.5,0
Gene Wiley,78.8,2.8,2.4,1.8,1.3,-0.1
Jeff Wilkins,78.3,2.4,2.3,2.3,1,0.5
Will Perdue,77.4,2.5,2.5,2.3,0.5,-0.1
Paul Mokeski,77.0,1.7,1.6,1.4,0.8,-0.1
George Nostrand,77.0,2,2,1.3,0.4,NA
