Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Toney Douglas,,4.2,2.5,2.4,2.2,0.9,0.5,0.2,-0.6,NA
Brandon Rush,85.4,3.5,2.6,2.5,2,0.9,0.4,0,-0.3,-0.4
Armond Hill,85.2,4.2,2.6,2.5,1,0.8,0.5,0,-0.4,NA
Trenton Hassell,84.7,4,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1
Kent Bazemore,82.3,4.1,2.2,2.1,1.6,0.7,0.2,0.1,NA,NA
Sonny Hertzberg,81.8,4,2.5,2.3,1.4,0.7,NA,NA,NA,NA
Elfrid Payton,81.7,4.4,2.8,2.3,2.2,1.5,NA,NA,NA,NA
Andre Roberson,81.3,4.2,3.4,2.2,2.1,0.8,NA,NA,NA,NA
Lee Winfield,81.0,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,NA,NA
Charlie Criss,80.0,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0,NA
Joe Hamilton,79.9,4.1,2.9,2.9,2.2,0.2,0.2,NA,NA,NA
