Season,Team,Lg,Salary
1999-00,Chicago Bulls,NBA,"$3,375,960"
2000-01,Chicago Bulls,NBA,"$3,629,160"
2001-02,Los Angeles Clippers,NBA,"$3,882,360"
2002-03,Los Angeles Clippers,NBA,"$4,895,656"
2003-04,Los Angeles Clippers,NBA,"$10,960,000"
2004-05,Los Angeles Clippers,NBA,"$12,056,000"
2005-06,Los Angeles Clippers,NBA,"$13,152,000"
2006-07,Los Angeles Clippers,NBA,"$14,248,000"
2007-08,Los Angeles Clippers,NBA,"$15,344,000"
2008-09,Philadelphia 76ers,NBA,"$13,757,844"
2009-10,Philadelphia 76ers,NBA,"$14,858,471"
2010-11,Philadelphia 76ers,NBA,"$15,959,099"
2011-12,Philadelphia 76ers,NBA,"$17,059,727"
2012-13,Philadelphia 76ers,NBA,"$16,059,854"
2012-13,Dallas Mavericks,NBA,"$2,100,500"
2013-14,Atlanta Hawks,NBA,"$4,000,000"
2014-15,Atlanta Hawks,NBA,"$2,000,000"
2015-16,Philadelphia 76ers,NBA,"$890,693"
2016-17,Philadelphia 76ers,NBA,"$1,000,000"
Career,(may be incomplete),,"$169,229,324"
