,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,21,CHI,NBA,PF,74,2906,,,2%,72%,26%,-8.7,+6.1,64,77,100,34,192,0,543,47,95
2001-02,22,LAC,NBA,PF,80,3020,,,,80%,21%,+0.7,+5.2,49,64,122,26,232,0,447,73,72
2002-03,23,LAC,NBA,PF,62,2454,,,,93%,7%,-3.1,+3.8,44,53,88,23,151,0,364,48,60
2003-04,24,LAC,NBA,PF,69,2670,,,,88%,12%,-4.5,+1.7,56,73,120,33,237,0,504,55,62
2004-05,25,LAC,NBA,PF,81,3001,,,2%,94%,4%,+2.4,+13.0,34,63,127,36,225,0,441,70,81
2005-06,26,LAC,NBA,PF,79,3099,,,,85%,15%,+2.8,+4.6,45,69,113,22,248,14,459,68,65
2006-07,27,LAC,NBA,PF,80,3077,,,12%,74%,14%,-0.4,+0.8,47,78,124,26,218,10,523,68,56
2007-08,28,LAC,NBA,PF,8,274,,,,76%,24%,-17.2,-9.6,5,8,15,1,23,1,38,7,10
2008-09,29,PHI,NBA,PF,29,920,,,,74%,26%,-0.4,-0.4,21,22,43,8,56,5,86,12,20
2009-10,30,PHI,NBA,PF,76,2297,,,,79%,21%,-2.4,+5.6,22,56,116,22,126,3,258,36,55
2010-11,31,PHI,NBA,PF,81,2809,,,,61%,39%,+2.1,+1.2,16,48,135,12,126,4,272,26,47
2011-12,32,PHI,NBA,C,60,1732,,,,47%,53%,+6.3,+3.3,15,24,106,13,63,0,221,16,28
2012-13,33,DAL,NBA,C,72,1527,,,,9%,91%,-1.3,-0.9,21,23,105,5,46,5,169,17,21
2013-14,34,ATL,NBA,C,73,1414,,,,1%,99%,-1.0,-1.1,19,22,111,9,44,8,178,10,14
2014-15,35,ATL,NBA,C,36,486,,,,11%,90%,+2.2,-4.1,9,4,28,4,8,2,54,1,4
2015-16,36,PHI,NBA,C,17,225,,,,10%,90%,-7.6,+3.2,1,8,17,0,4,3,47,3,2
Career,,,NBA,,977,31911,,,2%,70%,29%,-0.8,+3.7,468,692,1470,274,1999,55,4604,557,692
,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,LAC,NBA,,459,17595,,,2%,85%,12%,-0.4,+4.7,280,408,709,167,1334,25,2776,389,406
5 seasons,,PHI,NBA,,263,7983,,,,63%,37%,+1.2,+2.8,75,158,417,55,375,15,884,93,152
2 seasons,,ATL,NBA,,109,1900,,,,4%,96%,-0.2,-1.9,28,26,139,13,52,10,232,11,18
1 season,,CHI,NBA,,74,2906,,,2%,72%,26%,-8.7,+6.1,64,77,100,34,192,0,543,47,95
1 season,,DAL,NBA,,72,1527,,,,9%,91%,-1.3,-0.9,21,23,105,5,46,5,169,17,21
