Season,Team,Lg,Salary
1997-98,Denver Nuggets,NBA,"$1,291,440"
1998-99,Denver Nuggets,NBA,"$1,485,000"
1999-00,Boston Celtics,NBA,"$1,678,800"
2000-01,Golden State Warriors,NBA,"$3,950,000"
2001-02,Golden State Warriors,NBA,"$4,649,534"
2002-03,Golden State Warriors,NBA,"$5,039,068"
2003-04,Dallas Mavericks,NBA,"$5,428,602"
2004-05,Seattle SuperSonics,NBA,"$5,818,136"
2005-06,Seattle SuperSonics,NBA,"$6,207,670"
2006-07,Seattle SuperSonics,NBA,"$6,596,990"
Career,(may be incomplete),,"$42,145,240"
