Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Danny Fortson,,4.5,4.4,4.3,3.5,2.3,1.9,1.1,0.2,0.2,0,NA,NA
Alvin Scott,90.2,4.4,4.3,4,3.8,2.9,1.7,1.2,0.8,NA,NA,NA,NA
Nate Williams,87.5,4.5,4.3,4,2.9,2.8,2.5,1.9,0.4,NA,NA,NA,NA
Terry Catledge,86.4,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,NA,NA,NA,NA
Ron Anderson,86.2,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.5,0.5,0.3,NA,NA
Luke Jackson,86.0,5.1,4.8,4.2,3.6,1.7,1.4,0.8,0.8,NA,NA,NA,NA
Len Chappell,85.9,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1,NA,NA
Dave Stallworth,85.7,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0,NA,NA,NA,NA
Terrence Ross,85.6,4.3,4.2,3.6,3.5,2.4,0.9,0.3,NA,NA,NA,NA,NA
Jan van Breda Kolff,85.6,4.5,3.9,3.8,3.6,3.4,1.2,1.1,0.6,0.1,NA,NA,NA
Eduardo Nájera,85.4,4.8,4.1,4,4,2.7,1.6,1.1,1.1,0.8,0.2,0.2,0.1
