Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Connie Norman,,0.8,0.2,0.2,NA,NA
Archie Goodwin,81.2,0.7,0.2,0.2,0.1,NA
Terry Duerod,80.1,0.7,0.2,0.2,-0.2,NA
Sam Jacobson,77.1,0.9,0.2,0,NA,NA
Greg Sutton,72.7,0.8,0.2,-0.1,NA,NA
Lowes Moore,72.6,1.1,0.2,0.2,NA,NA
Kelvin Upshaw,71.8,1,0.3,0.3,NA,NA
Chris Corchiani,71.5,0.9,0.4,0.3,NA,NA
Greg Graham,69.5,0.8,0.3,0.3,0.1,-0.1
Andre McCarter,69.2,0.8,0.3,0,NA,NA
Tom Ingelsby,67.2,0.7,0.1,0,NA,NA
