Season,Team,Lg,Salary
1995-96,Seattle SuperSonics,NBA,"$200,000"
1996-97,Seattle SuperSonics,NBA,"$247,500"
1997-98,Seattle SuperSonics,NBA,"$706,300"
1998-99,Philadelphia 76ers,NBA,"$846,300"
1999-00,Philadelphia 76ers,NBA,"$3,000,000"
2000-01,Philadelphia 76ers,NBA,"$3,380,000"
2001-02,Philadelphia 76ers,NBA,"$3,750,000"
2002-03,Philadelphia 76ers,NBA,"$4,125,000"
2003-04,Philadelphia 76ers,NBA,"$4,500,000"
2004-05,Cleveland Cavaliers,NBA,"$4,875,000"
2005-06,Cleveland Cavaliers,NBA,"$5,484,375"
2006-07,Cleveland Cavaliers,NBA,"$6,093,750"
2007-08,Cleveland Cavaliers,NBA,"$6,703,125"
2008-09,Cleveland Cavaliers,NBA,"$7,312,500"
Career,(may be incomplete),,"$51,223,850"
