Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,24,SAA,ABA,C,1,NA,28:00,13,24,0.542,0,0,NA,3,4,0.75,13,22,0,0,2,2,2,29
1974-75,25,SAA,ABA,C,1,NA,26:00,5,13,0.385,0,0,NA,2,2,1,2,5,1,0,0,2,3,12
Career,NA,,ABA,,2,NA,54,18,37,0.486,0,0,NA,5,6,0.833,15,27,1,0,2,4,5,41
