Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1962-63,22,BOS,NBA,SF,11,NA,254,7.9,17.7,0.448,2.6,3.8,0.667,NA,NA,7.5,2.4,NA,NA,NA,4,18.4
1963-64,23,BOS,NBA,SF,10,NA,289,7.6,19.8,0.384,4.4,5.5,0.795,NA,NA,5.4,4,NA,NA,NA,3.2,19.6
1964-65,24,BOS,NBA,SG,12,NA,405,7.8,22.2,0.352,4.1,4.9,0.836,NA,NA,7.8,2.6,NA,NA,NA,3.9,19.7
1965-66,25,BOS,NBA,SF,17,NA,719,7.7,18.7,0.409,4.8,5.7,0.841,NA,NA,7.7,3.5,NA,NA,NA,3.5,20.1
1966-67,26,BOS,NBA,SF,9,NA,330,10.4,23.1,0.448,6.2,7.7,0.803,NA,NA,8,3.1,NA,NA,NA,3.3,26.9
1967-68,27,BOS,NBA,SG,19,NA,862,7.7,17,0.452,5.2,6.3,0.828,NA,NA,6.8,5.9,NA,NA,NA,2.8,20.6
1968-69,28,BOS,NBA,SG,18,NA,850,7.2,16.2,0.445,5,5.8,0.855,NA,NA,7.6,4.2,NA,NA,NA,2.5,19.4
1971-72,31,BOS,NBA,SF,11,NA,517,7.5,16.4,0.46,5.9,6.9,0.859,NA,NA,6.4,4.9,NA,NA,NA,2.4,21
1972-73,32,BOS,NBA,SF,12,NA,479,8.4,17.7,0.477,4.6,5.6,0.824,NA,NA,4.7,4.9,NA,NA,NA,1.8,21.4
1973-74,33,BOS,NBA,SF,18,NA,811,8.8,18.2,0.484,4,4.5,0.881,1.2,3.9,5.1,4.8,1.1,0.3,NA,1.9,21.6
1974-75,34,BOS,NBA,SF,11,NA,464,6.4,14.9,0.432,5.1,5.9,0.868,1.4,3,4.4,4,1.2,0.1,NA,2.9,18
1975-76,35,BOS,NBA,SF,15,NA,505,5.7,12.8,0.444,2.7,3.4,0.809,1.3,2.7,4,3.6,0.9,0.4,NA,2.3,14.1
1976-77,36,BOS,NBA,SF,9,NA,375,6,16,0.371,3.9,4.8,0.82,1.4,3.3,4.7,6,0.8,0.4,NA,3.2,15.8
Career,NA,,NBA,,172,NA,6860,7.6,17.5,0.436,4.6,5.5,0.836,1.3,3.3,6.2,4.3,1,0.3,NA,2.8,19.8
