Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1965-66,25,BOS,NBA,SF,1,1,25:00,6,16,0.375,6,6,1,NA,6,1,NA,NA,NA,2,18
1966-67,26,BOS,NBA,SF,1,0,17:00,7,14,0.5,0,0,NA,NA,2,1,NA,NA,NA,1,14
1967-68,27,BOS,NBA,SG,1,0,22:00,9,15,0.6,8,11,0.727,NA,5,4,NA,NA,NA,0,26
1968-69,28,BOS,NBA,SG,1,1,31:00,6,14,0.429,2,2,1,NA,7,2,NA,NA,NA,2,14
1969-70,29,BOS,NBA,SG,1,1,29:00,7,15,0.467,3,3,1,NA,5,7,NA,NA,NA,2,17
1970-71,30,BOS,NBA,SF,1,1,24:00,6,12,0.5,0,2,0,NA,3,2,NA,NA,NA,3,12
1971-72,31,BOS,NBA,SF,1,1,24:00,5,13,0.385,5,5,1,NA,3,2,NA,NA,NA,2,15
1972-73,32,BOS,NBA,SF,1,1,22:00,6,10,0.6,2,5,0.4,NA,3,5,NA,NA,NA,1,14
1973-74,33,BOS,NBA,SF,1,1,18:00,5,10,0.5,0,2,0,0,0,2,1,0,NA,2,10
1974-75,34,BOS,NBA,SF,1,1,31:00,7,12,0.583,2,2,1,1,6,1,2,0,NA,2,16
1975-76,35,BOS,NBA,SF,1,1,21:00,3,10,0.3,3,3,1,1,2,2,1,0,NA,0,9
1976-77,36,BOS,NBA,SF,1,0,17:00,2,5,0.4,0,0,NA,0,1,1,0,0,NA,1,4
1977-78,37,BOS,NBA,SF,1,1,22:00,5,8,0.625,0,0,NA,0,3,1,0,0,4,2,10
Career,NA,,NBA,,13,10,303,74,154,0.481,31,41,0.756,2,46,31,4,0,4,20,179
