Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1962-63,22,BOS,NBA,SF,80,2200,15.4,0.479,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,4.8,6.4,0.139,NA,NA,NA,NA,NA
1963-64,23,BOS,NBA,SF,80,2587,16.9,0.463,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,6.1,7.7,0.142,NA,NA,NA,NA,NA
1964-65,24,BOS,NBA,SG,75,2169,16.3,0.441,0.223,NA,NA,NA,13.8,NA,NA,NA,NA,NA,-0.1,4.6,4.5,0.1,NA,NA,NA,NA,NA
1965-66,25,BOS,NBA,SF,71,2175,16.7,0.45,0.263,NA,NA,NA,14.6,NA,NA,NA,NA,NA,0.1,4.1,4.3,0.094,NA,NA,NA,NA,NA
1966-67,26,BOS,NBA,SF,81,2602,19.2,0.5,0.286,NA,NA,NA,15.6,NA,NA,NA,NA,NA,4.2,4.1,8.3,0.154,NA,NA,NA,NA,NA
1967-68,27,BOS,NBA,SG,82,2921,17.7,0.486,0.292,NA,NA,NA,18.6,NA,NA,NA,NA,NA,2.7,4.9,7.6,0.125,NA,NA,NA,NA,NA
1968-69,28,BOS,NBA,SG,82,3174,17,0.459,0.29,NA,NA,NA,20.3,NA,NA,NA,NA,NA,1,6.3,7.3,0.11,NA,NA,NA,NA,NA
1969-70,29,BOS,NBA,SG,81,3369,20,0.533,0.365,NA,NA,NA,23.2,NA,NA,NA,NA,NA,6.4,4.2,10.6,0.151,NA,NA,NA,NA,NA
1970-71,30,BOS,NBA,SF,81,3678,20.8,0.513,0.342,NA,NA,8.6,23,NA,NA,NA,NA,NA,6.6,5.9,12.5,0.164,NA,NA,NA,NA,NA
1971-72,31,BOS,NBA,SF,82,3698,20.1,0.512,0.281,NA,NA,8.3,22.9,NA,NA,NA,NA,NA,5.9,6.5,12.4,0.162,NA,NA,NA,NA,NA
1972-73,32,BOS,NBA,SF,80,3367,18.6,0.502,0.253,NA,NA,7.6,21.3,NA,NA,NA,NA,NA,4.9,7.2,12.1,0.172,NA,NA,NA,NA,NA
1973-74,33,BOS,NBA,SF,76,3091,17.4,0.509,0.277,4.4,10.6,7.6,20.8,1.3,0.5,NA,NA,NA,5.9,3.8,9.7,0.151,NA,1.7,0.2,2,3.1
1974-75,34,BOS,NBA,SF,82,3132,16.7,0.505,0.235,4.9,10.4,7.7,19.6,1.6,0.3,NA,NA,NA,5.9,3.8,9.7,0.149,NA,1.4,0.3,1.7,2.9
1975-76,35,BOS,NBA,SF,76,2598,15.5,0.508,0.297,4.4,7.5,5.9,15.3,1.7,0.6,NA,NA,NA,4.7,2.7,7.4,0.137,NA,1.1,0.5,1.6,2.3
1976-77,36,BOS,NBA,SF,79,2913,14.7,0.495,0.224,3.7,9.1,6.4,20.4,1.3,0.3,NA,NA,NA,3.3,2.8,6.1,0.1,NA,0.5,0,0.6,1.9
1977-78,37,BOS,NBA,SF,82,2797,14.3,0.495,0.221,3.5,8.5,6,17.1,1.5,0.4,13.3,21.3,NA,2.9,2.1,5.1,0.087,NA,0.2,-0.4,-0.2,1.3
Career,NA,,NBA,,1270,46471,17.5,0.492,0.275,4.2,9.3,7.4,19.5,1.5,0.4,13.3,21.3,NA,57.6,74.1,131.7,0.136,NA,1,0.1,1.1,11.5
