Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1962-63,22,BOS,NBA,SF,80,NA,2200,483,1085,0.445,174,239,0.728,NA,NA,534,179,NA,NA,NA,189,1140
1963-64,23,BOS,NBA,SF,80,NA,2587,640,1535,0.417,315,422,0.746,NA,NA,428,238,NA,NA,NA,227,1595
1964-65,24,BOS,NBA,SG,75,NA,2169,570,1420,0.401,235,316,0.744,NA,NA,371,199,NA,NA,NA,200,1375
1965-66,25,BOS,NBA,SF,71,NA,2175,530,1328,0.399,274,349,0.785,NA,NA,423,210,NA,NA,NA,158,1334
1966-67,26,BOS,NBA,SF,81,NA,2602,684,1540,0.444,365,441,0.828,NA,NA,532,278,NA,NA,NA,210,1733
1967-68,27,BOS,NBA,SG,82,NA,2921,666,1551,0.429,368,453,0.812,NA,NA,546,384,NA,NA,NA,237,1700
1968-69,28,BOS,NBA,SG,82,NA,3174,692,1709,0.405,387,496,0.78,NA,NA,570,441,NA,NA,NA,247,1771
1969-70,29,BOS,NBA,SG,81,NA,3369,736,1585,0.464,488,578,0.844,NA,NA,635,550,NA,NA,NA,211,1960
1970-71,30,BOS,NBA,SF,81,NA,3678,892,1982,0.45,554,677,0.818,NA,NA,730,607,NA,NA,NA,200,2338
1971-72,31,BOS,NBA,SF,82,NA,3698,897,1957,0.458,458,549,0.834,NA,NA,672,614,NA,NA,NA,183,2252
1972-73,32,BOS,NBA,SF,80,NA,3367,766,1704,0.45,370,431,0.858,NA,NA,567,529,NA,NA,NA,195,1902
1973-74,33,BOS,NBA,SF,76,NA,3091,685,1502,0.456,346,416,0.832,138,349,487,447,95,32,NA,196,1716
1974-75,34,BOS,NBA,SF,82,NA,3132,642,1411,0.455,289,332,0.87,154,330,484,432,110,16,NA,231,1573
1975-76,35,BOS,NBA,SF,76,NA,2598,504,1121,0.45,281,333,0.844,116,198,314,278,97,29,NA,204,1289
1976-77,36,BOS,NBA,SF,79,NA,2913,580,1283,0.452,235,288,0.816,109,273,382,400,84,18,NA,208,1395
1977-78,37,BOS,NBA,SF,82,NA,2797,546,1217,0.449,230,269,0.855,93,239,332,328,90,22,204,185,1322
Career,NA,,NBA,,1270,NA,46471,10513,23930,0.439,5369,6589,0.815,610,1389,8007,6114,476,117,204,3281,26395
