Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Jermaine O'Neal,,10.5,9,6.4,6.4,5.6,4.9,4.7,3.8,2.7,2.6,2.1,2,1.2,1.1,0.9,0.8,0.8,0.6
Donyell Marshall,89.1,10.4,8.5,6,6,5,4.2,4.2,3.8,3.8,3,1.3,1.3,0.8,0.3,0.3,NA,NA,NA
Johnny Green,88.2,9.5,8.4,5.6,5.3,5.1,5.1,3.8,3.7,2.6,2.4,2.3,1.7,1.5,1.2,NA,NA,NA,NA
Derrick Coleman,87.7,9.9,9.5,6.5,5.9,5.8,5.6,5.1,4.5,4.4,3.3,2,1.2,0.8,-0.1,-0.2,NA,NA,NA
Grant Long,87.5,8.4,7.7,6.6,6.5,5.1,5,4.9,4.6,2.7,2.6,2.4,1.6,1.4,0.4,0.2,NA,NA,NA
Christian Laettner,87.1,11.6,7.5,6.6,6.2,6.2,5.1,5,4.3,4.1,2.7,2.6,2.3,0.7,NA,NA,NA,NA,NA
Toni Kukoč,86.3,10.1,10,7,6.9,4.7,4,3.4,3.2,3.1,2.8,2,1.5,1.1,NA,NA,NA,NA,NA
Danny Manning,86.3,9.8,7.9,6.5,5.3,5.2,5.2,3.5,3.4,2.6,2.6,1,0.8,0.7,0.4,0.2,NA,NA,NA
Tyrone Hill,86.1,9.9,6.9,5.7,5.7,5.5,4.9,4.8,4.5,2.2,2.1,1.9,1.4,0.6,0.1,NA,NA,NA,NA
Nenê Hilário,85.6,10.8,9.6,9.3,6.1,5.3,5,4.1,4,3.2,3.2,3,2.7,2.7,2.6,1.4,0.3,-0.1,NA
Gerald Wallace,85.6,11.5,9.5,7.7,6.4,6.2,4.8,4.6,3.1,2.4,1.3,0.9,0.6,0.4,0.1,NA,NA,NA,NA
